scenario,controller,rmse,itae,peak_error,control_effort,disturbance_rmse
nominal,lqr,0.060837669837713576,1.1678366240327596,0.22579623628341322,3.15770827412227,
nominal,lqr_dob,0.04670242311078231,0.9803897123383789,0.22360679774997913,7.828221193856552,0.3695356834848065
step_disturbance,lqr,0.1083672937397559,45.42333141867719,0.22579623628341322,9.135219896768268,
step_disturbance,lqr_dob,0.04705211492673479,1.570691503274473,0.22360679774997913,13.875420356226456,0.3732951175368415
piecewise_disturbance,lqr,0.07751060106405484,22.82876815404575,0.22579623628341322,5.137522437405083,
piecewise_disturbance,lqr_dob,0.0476427382122957,2.986181732183607,0.22360679774997913,9.997389905475133,0.3796381476462291
payload_change,lqr,0.06099906849588598,1.7202348327908827,0.22579623628341322,3.17604695426927,
payload_change,lqr_dob,0.04670862115191045,1.0488515378184848,0.22360679774997913,7.833510163138181,0.3695581494097276
noise_disturbance,lqr,0.09317610594565681,27.86219159905805,0.22577852745605873,6.7792503121659635,
noise_disturbance,lqr_dob,0.04747474724300491,2.940026012696939,0.22360679774997913,11.666587928867072,0.38002458357119895
